firstname;lastname;address;PLZ;city;birthdate;email;gamertag;join_date;hardware;game;playtime;wins;losses;ingamelevel
Birdie;Reynolds;Francesco Fields 77;1930;West New York;1987-12-18;tamara_prohaska@gmail.com;Lynn.Herman;2022-01-27;PC;World of Tanks;812;885;807;25
Josue;Huels;Abigale Views 44;4549;Schaeferfort;1970-01-07;barbara.krajcik-ratke36@hotmail.com;Fern89;2020-03-24;Playstation 5;World of Warcraft;705;569;336;67
Jefferey;Lind-Swift;Kaley Orchard 59;1536;Fort Esteban;1950-03-24;kamren.bednar5@hotmail.com;Coty83;2015-01-13;PC;PlayerUnknown's Battlegrounds;100;185;47;1
Alysson;Rutherford;Schuppe Roads 4;4656;Dejuanstad;1967-08-24;alicia33@yahoo.com;Genevieve.Mosciski9;2017-01-14;Playstation 4;World of Warcraft;182;370;873;70
Chadd;Turner;Wyatt Knolls 89;4568;Port Jaydenside;2005-08-30;jessika.herzog@hotmail.com;Quinten_DuBuque;2022-03-14;PC;FIFA 20;152;670;872;89
Aliyah;Stokes;Schumm Heights 70;9281;Tianaville;1966-12-10;kristopher_trantow@yahoo.com;Jabari_Schimmel;2016-11-26;Playstation 4;Overwatch;877;737;607;88
Cordell;Flatley;Dexter Crossroad 91;1796;New York;1979-11-14;tamara.greenfelder59@gmail.com;Melissa.Wuckert;2020-05-03;Nintendo Switch;Path of Exile;514;876;741;14
Zella;Paucek;Derick Points 36;6936;Port Chazworth;1979-03-19;watson_reichel@hotmail.com;Sage.Sipes;2015-02-23;Playstation 5;Rocket League;680;401;474;96
Zoila;Kemmer-Predovic;Schimmel Skyway 79;1353;Edmond;1972-04-14;thea_windler19@gmail.com;Verda93;2017-07-11;Xbox One;Path of Exile;928;197;649;6
Laurie;Franey;Isabella Stravenue 39;1103;Carrieboro;1999-12-22;magnus8@gmail.com;Jeanette.Keebler;2018-12-02;Playstation 5;Rainbow Six Siege;257;21;255;76
Morgan;Monahan;Kirlin Skyway 23;8686;Fort Giovanitown;1963-11-13;river.lowe@hotmail.com;Garnett_Mitchell43;2020-02-09;Nintendo Switch;Teamfight Tactics;677;172;158;98
Boris;VonRueden;Schowalter Spur 71;6245;Fort Reggie;1953-11-16;lolita24@gmail.com;Ericka_Ondricka-West;2022-05-06;Xbox One;Valorant;533;854;231;56
Karina;Erdman-Lang;Miller Ville 83;9954;Schroederchester;2000-01-07;gustave.herman70@yahoo.com;Lupe_Little28;2022-09-03;PC;Destiny 2;809;906;969;10
Cydney;Heidenreich;Strosin Station 33;7438;Port Pasquale;1978-04-29;gavin.kuvalis-keeling31@yahoo.com;Blaze98;2021-03-13;Playstation 5;League of Legends;939;163;900;76
Neha;Hegmann;Dagmar Trafficway 47;8224;West Franzfort;1970-02-27;kellen20@gmail.com;Pablo_Maggio;2017-05-21;Xbox Series X;Diablo III;576;421;875;18
Gilda;Weber;Quitzon Common 39;6638;Stehrville;1993-07-21;catalina29@hotmail.com;Concepcion.OKeefe60;2023-04-16;Nintendo Switch;Fortnite;930;285;806;97
Harley;Hand;Elwin Neck 57;8065;Encinitas;1967-12-19;zack.bode@hotmail.com;Margarette.Smitham8;2020-10-14;Xbox Series X;PlayerUnknown's Battlegrounds;359;659;36;96
Mya;Pacocha;Parker Ridge 75;6599;Predoviccester;1993-08-08;janie46@gmail.com;Mateo19;2021-09-20;Xbox Series X;Counter Strike: Global Offensive;934;215;441;34
Lelah;Denesik;Elza Stravenue 80;3619;West Estell;1953-09-01;clemens_pacocha@hotmail.com;Deontae.Stark76;2021-10-29;Nintendo Switch;Dota 2;685;122;735;45
Aliza;Pacocha;Cummings Valleys 73;2323;North Jennifer;1979-08-05;cora40@hotmail.com;Layne.OConner;2019-12-25;Playstation 5;Minecraft;637;22;647;30
Irwin;Upton;Fleta Glen 82;9663;West Camilla;1988-02-29;torrey_steuber19@gmail.com;Carmine.Grady;2016-05-28;Playstation 5;Diablo III;187;77;774;23
Tito;Emmerich;Esther Cliffs 98;5049;New Aric;1972-04-10;royce_marquardt77@gmail.com;Violet_Bogan-Goodwin;2013-08-22;PC;Call of Duty: Warzone;108;302;116;88
Heath;Labadie;Casper Club 31;5714;New Jarred;1953-02-26;salma_sawayn@yahoo.com;Floyd_Doyle82;2016-07-05;PC;Smite;358;736;573;15
Dominic;Botsford;Bart Throughway 60;9316;South Joannycester;1955-09-13;domenica_feeney66@gmail.com;Estefania_Wehner;2020-03-28;PC;Grand Theft Auto V;338;830;194;33
Meta;Huel;Kulas Forest 4;7625;Hiramland;1957-06-11;jordyn11@yahoo.com;Herman89;2013-07-08;Playstation 4;Madden NFL 20;705;224;443;2
Evelyn;Ferry-Jacobson;Romaine Motorway 8;1414;Pharr;1998-08-01;rosalia.sanford@yahoo.com;Morton20;2013-07-12;Nintendo Switch;Hearthstone;261;494;639;18
Aileen;Pouros;Olson Land 93;8932;Wardboro;1977-01-31;orie59@yahoo.com;Frederic97;2015-12-29;PC;Smite;194;487;862;11
Camron;Braun;Morton Station 81;1982;Gorczanyworth;1976-11-18;mittie.jacobi@hotmail.com;Gavin.Fritsch;2016-04-09;Playstation 5;League of Legends;989;749;873;96
Velma;O'Reilly;Cameron Centers 79;5773;East Marques;1994-04-15;hester.halvorson55@hotmail.com;Helmer_Fay99;2020-06-04;Nintendo Switch;Diablo III;615;512;388;70
Rolando;Ryan;Cassin Islands 68;8592;New Alvenamouth;2005-05-24;alexandra.barrows37@gmail.com;Kenton_Bednar0;2017-12-24;Xbox One;Minecraft;960;641;512;14
Bertrand;Harris;Gudrun Mall 24;9442;Langoshworth;1991-04-13;liliane.flatley37@hotmail.com;Ryleigh32;2015-07-15;PC;PlayerUnknown's Battlegrounds;154;799;207;42
Darian;Pollich;Shields Track 96;2064;Lake Krista;1998-01-09;laverna.nienow12@gmail.com;Dale_Wehner22;2019-11-14;PC;Path of Exile;384;280;500;26
Annie;Shields;Brock Rapid 5;5203;Danialville;1965-02-18;sierra57@yahoo.com;Eda6;2019-04-03;Nintendo Switch;Path of Exile;383;987;928;77
Amparo;Brekke;Langworth Harbors 86;3113;Franklin;2004-12-06;loraine52@hotmail.com;Pauline.Stamm;2021-02-19;Playstation 5;Path of Exile;805;689;563;25
Boyd;Swift;Rolfson Ridges 66;7960;Hesperia;1949-08-28;felipa_wyman77@hotmail.com;Reymundo_Simonis67;2016-07-11;Playstation 5;Minecraft;616;92;195;64
Colin;Robel;Isabella Mills 66;2804;North Ethelynton;1958-10-13;kristian_zulauf@gmail.com;Baby9;2017-02-05;Xbox One;Valorant;846;403;807;13
Christop;Hauck;Kassulke View 51;5467;Lake Skylar;2004-02-27;angelita_weber37@yahoo.com;Derick_Spinka;2014-10-23;Playstation 5;Overwatch;378;456;74;27
Monty;Bogisich;Nader Valley 14;8663;Cristhaven;1985-09-07;esther.shanahan@hotmail.com;Javon_McDermott;2015-10-20;Xbox One;Dota 2;456;246;724;21
Brett;Hilpert;Kaitlin Turnpike 97;3957;North Domenicastead;1976-06-28;kendrick.beatty34@gmail.com;Kaelyn87;2017-04-19;Nintendo Switch;Fortnite;249;632;692;75
Jewel;Vandervort;Kutch Heights 3;8955;South Ervinstead;1973-08-14;riley.rodriguez84@yahoo.com;Camden_Jenkins;2020-07-16;Playstation 4;Minecraft;867;871;572;82
Roderick;Reinger;Brennon Fords 12;5739;Boylebury;1971-05-26;karelle_morissette@hotmail.com;Abraham38;2014-05-11;Xbox Series X;Teamfight Tactics;683;210;848;58
Kieran;Skiles;Opal Views 86;8677;West Des Moines;1990-01-20;percy_weber@gmail.com;Allie_Price;2022-12-11;Playstation 5;Counter Strike: Global Offensive;938;418;452;2
Bettye;Wyman;Cara Ranch 56;5892;South Mikaylaville;1967-01-16;rylee_baumbach46@gmail.com;Alejandra.West;2016-01-23;Xbox One;Fortnite;821;418;981;3
Carrie;DuBuque;Tyson Views 54;6725;Whittier;1986-12-17;thalia14@yahoo.com;Raul_Mayer88;2019-02-15;Xbox One;Valorant;468;164;415;14
Xzavier;Schulist;Grimes Dam 61;3531;Fort Gladys;2007-09-26;joaquin27@hotmail.com;Jessika_Mayert70;2017-08-15;Nintendo Switch;FIFA 20;536;762;300;53
Valentine;Kertzmann;Rozella Branch 51;9855;Union City;1949-09-25;dion.thiel87@hotmail.com;Brock.Upton;2015-02-03;PC;Apex Legends;701;188;567;34
Giovani;Anderson;Elliott Rapids 68;5659;East Garrychester;1992-06-28;orville.waters@yahoo.com;Garret.Treutel34;2021-02-05;Playstation 5;Diablo III;410;551;261;72
Bradley;Littel;Vladimir Divide 54;1282;Port Amya;1996-11-29;hilda38@yahoo.com;Haskell_Cormier14;2019-10-07;Xbox Series X;Fortnite;566;946;24;3
Amina;Stehr;Marcos Corner 95;6692;New Dorcas;2000-05-03;jettie_swift@yahoo.com;Boyd76;2016-12-31;Playstation 5;Path of Exile;841;706;618;31
Carol;Windler;Wisoky Dam 62;1801;Luigifort;2004-06-03;adrianna_kassulke68@hotmail.com;Bette.Hansen;2017-11-08;Xbox Series X;World of Warships;756;300;524;11
Kattie;Gusikowski;Wintheiser Plaza 26;5513;Wolfchester;1956-12-26;leora39@yahoo.com;Estevan.Ward;2021-04-01;Playstation 4;Apex Legends;987;794;857;37
Blake;Dooley;Spinka Neck 50;7723;Corvallis;2006-05-24;travon_weissnat@gmail.com;Alek89;2013-07-22;Xbox Series X;FIFA 20;212;669;474;37
Johnnie;Pagac;Thiel Run 55;7048;Emardstead;1989-09-27;elvis91@hotmail.com;Ines.Crona86;2018-03-28;Playstation 4;Heroes of the Storm;988;314;543;61
Ena;Bashirian;Rowena Mill 73;3043;Corwinfort;1989-09-12;estelle25@gmail.com;Kiarra52;2016-11-25;PC;Starcraft II;981;528;14;2
Faustino;Walsh;Thompson Centers 31;6398;Jacobicester;1971-11-26;giovanni.rath@gmail.com;Catalina_Sporer;2015-04-16;Playstation 5;Apex Legends;403;158;643;28
Antonina;Bergstrom;Mante Orchard 71;4738;Santa Barbara;1966-12-11;bonita_carter99@hotmail.com;Cory48;2015-07-28;PC;Valorant;965;586;255;91
Fredy;Rutherford;Leola Junction 74;3500;Sugar Land;2007-09-09;august.kohler37@gmail.com;Ursula38;2016-04-15;Xbox Series X;World of Warships;283;353;939;59
Blake;Heathcote;Dibbert Corners 95;3050;Coleshire;2007-05-21;green50@yahoo.com;Virgil.Jacobs;2018-02-19;Nintendo Switch;Diablo III;820;856;955;44
Taurean;Friesen;Feeney Track 42;5104;South Amelia;1993-04-25;nigel46@yahoo.com;Oran82;2017-04-27;Nintendo Switch;NBA 2K20;534;604;460;5
Crystel;Quitzon;Okey Parkways 88;6115;Balistrerimouth;1954-06-17;guadalupe80@yahoo.com;Rosella.Jaskolski45;2014-10-04;Nintendo Switch;Starcraft II;881;925;195;59
Torrance;Rice;Marie Bypass 18;9628;Port Kenyaland;1964-05-04;enoch_schimmel46@hotmail.com;Ricardo4;2018-08-30;Xbox Series X;Smite;181;333;394;44
Brandy;Ritchie;Hailey Junctions 91;2177;Fort Karleeside;1990-07-28;alan_hudson@yahoo.com;Clementina.Baumbach96;2020-12-17;Xbox Series X;Valorant;848;398;527;99
Miller;Heaney;Gorczany Expressway 46;9676;West Yasminfield;2006-09-06;monte83@gmail.com;Mara_Maggio11;2021-06-19;Playstation 4;Diablo III;998;221;60;50
Van;Moore;Joanie Loaf 24;2060;North Annabelcester;1976-03-06;kacey.bahringer@hotmail.com;Amparo40;2023-01-09;Xbox Series X;Starcraft II;834;61;765;60
Bennett;Little;Augustine Mount 41;5518;Heathcotefurt;1959-06-30;sarai.aufderhar@yahoo.com;Frederik50;2020-10-12;Nintendo Switch;Counter Strike: Global Offensive;880;55;325;44
Myra;Kautzer;Labadie Meadow 97;5459;North Donaldview;1981-08-07;cortney.zboncak31@gmail.com;Cassandra0;2021-08-17;Nintendo Switch;World of Warships;305;145;820;30
Scotty;Oberbrunner;Geovany Square 19;4229;Port Marianeworth;1957-02-17;jean.grimes57@gmail.com;Rubie.Erdman2;2018-07-28;Xbox One;Counter Strike: Global Offensive;551;269;247;77
Kennedy;Cassin;Don Expressway 42;9760;North Eloyview;1963-01-31;delilah_zulauf@hotmail.com;Jerome6;2022-05-03;Xbox Series X;Diablo III;498;950;706;78
Rodger;Beier;Zboncak Lodge 61;6571;Aspen Hill;1983-02-26;ellen.emard@hotmail.com;Raul.Miller;2022-05-07;Nintendo Switch;League of Legends;572;766;227;69
Elna;Adams;Curt Cape 57;1707;Keller;2004-06-02;glenda_welch@hotmail.com;Fritz.Sipes39;2021-12-28;Playstation 5;Smite;168;911;685;49
Cynthia;Deckow;Reynolds Harbor 37;8036;Jakubowskiboro;2002-09-21;clarissa_turcotte@hotmail.com;General_Botsford1;2017-06-14;Nintendo Switch;World of Tanks;966;312;912;64
Diamond;Reynolds-Considine;Wolf Parkway 70;2149;Vladimirville;1983-07-28;darwin_rippin@gmail.com;German_Russel;2015-11-22;PC;World of Warcraft;609;179;854;66
Ottis;Reynolds;Parisian Rapids 75;1981;East Antonietta;1972-12-19;cory_graham@yahoo.com;Aidan.Goodwin;2022-03-13;Nintendo Switch;Heroes of the Storm;732;995;941;48
Xzavier;Schaefer;Abshire Island 81;1272;Cummingsboro;1999-10-22;matilde88@yahoo.com;Melisa_Runolfsson;2020-04-14;PC;Rocket League;748;474;442;83
Hulda;Ernser;Willa Throughway 52;2834;Jerdeshire;1972-06-01;mazie_harris93@gmail.com;Faye.DuBuque88;2021-06-29;Playstation 5;Rainbow Six Siege;363;86;621;53
Kasandra;Nader;Leland Freeway 13;9869;Redding;1970-07-24;porter_hickle97@hotmail.com;Cordell_Stanton97;2014-02-10;Playstation 4;Call of Duty: Warzone;469;15;300;45
Antonietta;Batz;Sven Fields 83;5788;Compton;1952-12-17;clifford.pagac@hotmail.com;Eusebio.McKenzie-Von76;2015-11-27;Playstation 5;Heroes of the Storm;945;634;356;86
Jack;Auer;Kreiger Shore 32;8960;Renton;1992-10-18;madalyn52@hotmail.com;Tyrese.Schmidt;2020-11-01;Playstation 5;Dota 2;617;323;951;90
Nichole;Metz;Bruen Pass 2;9196;West Dejastad;1957-04-18;lonnie.robel-kreiger44@yahoo.com;Lindsey9;2020-08-05;Xbox Series X;Madden NFL 20;864;201;347;84
Alice;Hudson;Josue Streets 74;7253;Thompsonville;2006-06-18;dock80@yahoo.com;Milo_Braun63;2017-01-15;Playstation 5;Teamfight Tactics;184;557;995;26
Price;Heidenreich;Torphy Rest 52;7052;Enid;2004-05-22;sophia.bosco@gmail.com;Chance_Goyette6;2014-11-16;Nintendo Switch;Destiny 2;160;991;525;94
Mallory;Steuber;Balistreri Loaf 95;4949;Corineborough;1999-06-01;sibyl.west@gmail.com;Rebeka_Wolf;2020-09-01;Nintendo Switch;Grand Theft Auto V;619;963;351;28
Curt;Franecki;Cruickshank Streets 91;2780;Olathe;1976-09-08;stephan56@gmail.com;Caden38;2019-08-12;Playstation 5;FIFA 20;758;897;732;28
Elna;Sipes;Deckow Way 98;9704;Palo Alto;1955-11-25;jayne95@hotmail.com;Winifred_Ebert89;2014-02-01;Playstation 5;Call of Duty: Warzone;664;650;878;78
Jody;Jast-Gerlach;Trinity Forges 4;6209;Christiansenshire;1988-08-24;john.zboncak@hotmail.com;Scarlett48;2021-02-26;Xbox One;Hearthstone;755;374;647;6
Ursula;Orn;Thad Hills 12;5413;Haagburgh;1968-11-15;princess_fahey11@yahoo.com;Estella_Gerlach77;2019-11-10;Xbox Series X;NBA 2K20;867;918;645;43
Evangeline;Dietrich;Amos Ferry 25;6053;Hauckborough;1958-12-13;katlynn25@hotmail.com;Litzy10;2019-06-25;Nintendo Switch;Madden NFL 20;601;173;9;58
Ona;Konopelski;Fritsch Track 44;5978;Greenholtcester;1995-04-12;ransom.stamm@yahoo.com;Jazmin.Conroy50;2016-06-26;Playstation 4;Hearthstone;482;435;400;80
Pansy;Hodkiewicz;Tobin Ford 76;8384;South Ila;1985-10-31;gudrun.fritsch87@yahoo.com;Mckenna73;2020-01-09;Nintendo Switch;Destiny 2;842;138;586;19
Antone;Hane;Kling Grove 65;2314;Kleinhaven;2004-01-21;bud_strosin67@hotmail.com;Eveline.Witting;2016-11-12;Playstation 5;Teamfight Tactics;135;338;230;24
Celestine;Emard;Mann Hills 36;1418;Elk Grove;2001-03-30;ed_daniel97@yahoo.com;Elwin.Koch8;2020-03-27;Playstation 4;Heroes of the Storm;366;507;781;45
Coleman;Roob;Treutel Trail 13;7098;East Hartford;1961-09-24;cathryn.schmitt@gmail.com;Jamil_Batz36;2022-05-17;Xbox One;Madden NFL 20;262;277;730;1
Jazmyne;Dickinson;Desmond Ford 71;8926;Fort Daisy;1979-09-09;eugene72@gmail.com;Gwen.Koelpin;2023-05-29;PC;PlayerUnknown's Battlegrounds;724;600;432;74
Gennaro;Lehner;Mohr Circle 84;3658;Walshfurt;1977-05-01;michaela.erdman@gmail.com;Drake_Walsh;2017-12-15;Playstation 5;Destiny 2;223;749;469;95
Albertha;Hoppe;Johnson Center 60;6593;Greenboro;1971-05-22;marielle_kuphal66@yahoo.com;Gudrun33;2022-06-19;Playstation 5;World of Warships;997;43;775;63
Kurt;Heidenreich;Kozey Mews 84;1341;Hayesmouth;2001-09-17;marlin_torphy2@yahoo.com;Haven_Crona37;2022-09-09;Playstation 4;Destiny 2;196;15;309;69
Juliana;Bartoletti;Daniel Villages 55;2591;Benniefort;1963-08-30;christine92@hotmail.com;Eula28;2022-10-07;Xbox One;League of Legends;255;529;174;38
Dorris;Rau;Arlo Ridge 88;2517;Summerville;1981-10-05;freeman.dickinson@gmail.com;Deron_Towne-Hoppe77;2018-01-26;Xbox One;NBA 2K20;814;123;656;91
Patsy;Denesik;Prosacco Divide 27;3562;New Taylorfort;1986-03-07;reta.funk47@gmail.com;Keanu.Huel;2018-12-22;Nintendo Switch;League of Legends;596;335;265;51
Wilma;Johnson;Beahan Flat 89;8398;Boca Raton;1991-06-21;jayson_abbott4@hotmail.com;Albertha_Feeney;2019-11-13;Playstation 4;Counter Strike: Global Offensive;168;808;593;69
Pascale;Bartell;Wilhelmine Forge 3;2260;Aufderharcester;1979-02-27;charlie.champlin74@yahoo.com;Dakota.Cronin;2020-06-12;Playstation 4;Destiny 2;947;969;955;3
Ariane;Hodkiewicz;Reinger Ports 91;5955;Roswell;1998-05-19;edgar.feeney@yahoo.com;Lisandro.Huel;2018-03-13;Xbox One;World of Warcraft;582;148;550;68
Baby;Hilpert;Wilbert Ridge 54;6835;Fort Pierce;2006-09-20;demond.bayer@gmail.com;Lorine_Greenholt;2013-11-23;Xbox One;Dota 2;437;647;515;29
Brett;Welch;Quitzon Way 31;6748;Ebertstad;1961-04-11;dante76@gmail.com;Lily.Abernathy86;2020-10-17;Xbox Series X;Rocket League;256;111;257;36
Crystel;Kilback;Mann Mews 46;6651;Rigobertotown;1978-04-18;maxie.raynor@gmail.com;Maude.Gusikowski;2015-02-17;Xbox One;Diablo III;450;484;118;9
Gisselle;Powlowski;Tia Rue 37;1636;Fort Magdalenview;1963-03-11;hanna3@hotmail.com;Paul_Bednar;2016-06-22;Xbox One;Hearthstone;956;564;161;21
Lulu;Weimann;Rogelio Overpass 65;7490;Lake Micah;1960-08-09;amari_oconner@gmail.com;Mellie.Lockman;2018-06-28;PC;Destiny 2;781;924;580;99
Darien;Kuphal;Satterfield Fork 51;2081;Davie;1975-02-24;orlo10@hotmail.com;Cecil8;2015-07-15;Xbox One;Fortnite;609;39;575;13
Hardy;Mosciski;Rita Walk 86;4709;Markston;2000-06-09;ed.marks@gmail.com;Liam_Beahan73;2014-06-02;Nintendo Switch;Madden NFL 20;339;471;420;65
Bryana;Weber;Heller Courts 43;4067;West Amosfield;1983-12-22;lura.pfannerstill79@gmail.com;Kane_Bogisich13;2019-09-19;Nintendo Switch;Fortnite;487;121;471;89
Cristobal;Doyle;Emma Center 21;3841;Kannapolis;1977-11-07;zoila.glover85@hotmail.com;Jillian.Zboncak87;2023-01-02;Xbox Series X;Hearthstone;657;902;259;34
Cale;Yundt;Cali Ports 63;1430;East Myrtlecester;1961-03-05;freida94@hotmail.com;Darien82;2018-05-18;Playstation 4;Minecraft;195;660;258;31
Loma;Jacobs;Hailey Hollow 23;6996;Barrychester;1985-10-14;ewald51@yahoo.com;Boris6;2019-06-02;Nintendo Switch;Diablo III;117;521;934;45
Jocelyn;Runolfsson;Velva Throughway 36;1166;New Heather;2001-12-31;lonny.wintheiser59@hotmail.com;Rylan3;2021-01-11;Xbox One;Destiny 2;467;112;309;2
Dangelo;Emmerich;Ayana Circles 55;8182;West Alvenaborough;1964-11-02;emmitt.bins@gmail.com;Hettie_Volkman-Bins90;2015-12-12;Playstation 4;Diablo III;703;340;834;41
Eugenia;Nienow;Hagenes Fall 64;6023;Andreanestead;1998-09-01;belle.cassin@yahoo.com;Abagail35;2018-07-17;PC;Rainbow Six Siege;159;243;119;15
Viola;Treutel-Price;Haley Flats 18;4434;Fadelborough;2002-06-06;xavier96@hotmail.com;Ryan.Nolan;2014-02-04;Playstation 4;Heroes of the Storm;706;724;283;7
Shayna;Halvorson;Bechtelar Island 1;7581;Rogeliofurt;1966-05-04;barrett.mayer@gmail.com;Verna.Brakus27;2022-06-06;Playstation 5;World of Warcraft;661;566;320;97
Demetrius;Dibbert;Wuckert Mews 91;7301;Kohlerfield;1972-03-25;kody83@yahoo.com;Johnathan.Stiedemann;2019-01-07;Nintendo Switch;Heroes of the Storm;214;121;713;80
Taylor;Oberbrunner;Marjory Harbors 21;9443;South Armandfield;1961-03-21;vincent.romaguera@yahoo.com;Rosalee75;2017-11-16;Playstation 4;Valorant;210;330;160;65
Jade;Harvey;Hoeger Ville 100;5225;Lake Clementinebury;1980-12-31;caleb73@hotmail.com;Viviane11;2017-07-24;Nintendo Switch;Destiny 2;529;15;492;53
Earnestine;Welch;Cormier Union 80;8893;Port Herminiobury;1987-03-19;wilfred72@hotmail.com;Lou_Kunde;2016-01-19;Xbox Series X;Overwatch;933;345;79;59
Alverta;Barrows;Bogisich Spurs 81;9725;West Ralphland;1959-04-11;jared11@yahoo.com;Rachel.Turcotte30;2013-09-25;Playstation 4;Destiny 2;726;4;161;61
Name;Ruecker;Cummerata Radial 33;5893;Fritschchester;1970-12-22;morgan_mohr17@yahoo.com;Cecile.Carroll;2018-03-03;PC;Minecraft;677;640;684;28
Colby;Kerluke;Rosamond Village 17;1999;Port Maximilianstead;1957-03-20;elmo10@yahoo.com;Clarissa36;2019-01-22;Playstation 5;PlayerUnknown's Battlegrounds;857;605;898;51
Brendan;Mayert;Anderson Road 4;6017;Fort Brisaworth;2005-06-13;zoey_jakubowski32@yahoo.com;Hollis86;2018-05-10;Nintendo Switch;Teamfight Tactics;672;776;705;19
Stacey;Pfannerstill;Margaret Locks 36;4651;Omaha;1984-08-28;arely.lakin5@yahoo.com;Angelo45;2021-08-22;PC;Madden NFL 20;849;172;712;4
Brenda;Schneider;Fae Road 19;1042;Porterville;1990-10-08;nat_jacobson74@yahoo.com;Maximus_Waelchi60;2020-09-15;Playstation 4;Apex Legends;228;993;48;30
Jamie;Moore;Nolan Knolls 67;5820;Collinsworth;1960-03-05;roxane1@hotmail.com;Herta62;2013-10-01;Playstation 5;Rocket League;604;974;696;25
Malvina;Bashirian;Sanford Cove 36;5207;Jefffurt;1954-06-18;maya_marvin@hotmail.com;Jalon.Nikolaus-Stracke;2019-05-17;PC;Fortnite;459;13;691;38
Laurine;Bergstrom;Lebsack Ridge 26;1072;Aydenworth;1960-07-09;lisa70@yahoo.com;Trisha_Durgan;2018-05-15;Playstation 4;FIFA 20;626;956;874;6
Misty;Olson;Heloise Unions 70;4281;East Honolulu;1953-12-25;norene_kovacek31@hotmail.com;Dennis_Lowe;2017-10-21;Xbox Series X;Rocket League;222;979;839;17
Stephen;Legros;Marcella Shoals 91;1881;Casper;1954-03-26;melyssa26@gmail.com;Greta_Feeney42;2014-07-13;Playstation 4;Minecraft;270;778;58;3
Magdalen;Mohr-Blanda;Daphnee Centers 73;4618;Dewittborough;1956-01-04;shyanne_huel55@hotmail.com;Alexzander.Huel;2022-04-05;Xbox Series X;League of Legends;805;438;231;94
Lonny;Collier;Gusikowski Manors 30;3346;Buckridgecester;2000-12-26;monroe48@yahoo.com;Nina95;2014-06-02;Playstation 5;Minecraft;272;22;400;65
Zion;Moen;Dickinson Flats 11;9705;Glenview;1978-04-21;baylee.turner@gmail.com;Kay12;2020-03-26;Xbox One;NBA 2K20;381;910;605;33
Reva;Larson;Ryan Crossroad 72;1958;New Chaddboro;1948-11-24;briana_kautzer72@hotmail.com;Trevor.Pfannerstill54;2016-10-09;PC;FIFA 20;517;280;537;41
Chaim;Harber;Mayer Walk 57;1286;Fort Toniberg;1981-01-11;domenick.kshlerin@gmail.com;Justyn.DAmore45;2017-10-09;Nintendo Switch;Rainbow Six Siege;730;290;408;61
Frederick;Kuhn;Orland Hills 33;4623;Enolafort;1984-10-07;conrad93@yahoo.com;Molly52;2019-11-10;PC;Rainbow Six Siege;816;592;356;99
Otha;Hermiston;Hartmann Rue 93;4162;Joycefield;1952-07-13;jude.hudson54@hotmail.com;Dameon_Hudson;2016-05-16;Xbox One;Counter Strike: Global Offensive;652;870;947;29
Marisol;Erdman;Nichole Brooks 89;1563;Lake Maxwell;2003-06-18;damian_ondricka-turcotte@yahoo.com;Jose_Pfannerstill71;2021-04-21;Playstation 4;Valorant;687;553;420;82
Audie;O'Connell;Pouros Roads 52;5162;Vancouver;1957-04-16;alexa42@hotmail.com;Cyril99;2019-09-25;Xbox One;Destiny 2;522;231;856;11
Nash;Hilpert;Crona Lights 57;2556;Salina;1957-09-18;rick_moen@yahoo.com;Norberto47;2019-03-22;Xbox One;Diablo III;918;289;160;29
Dean;Johns;Kessler Mews 34;4746;West Aylinworth;1983-10-16;shayne41@gmail.com;Silas.Willms88;2014-12-29;PC;Hearthstone;924;530;853;97
Nadia;Cruickshank;Corine Extension 87;8699;Friesenchester;1968-04-11;ruby_hermiston15@gmail.com;Elfrieda.Ullrich5;2014-09-08;Playstation 4;Overwatch;941;348;582;13
D'angelo;Jenkins;Tromp Street 23;8722;Salina;1949-02-17;joesph.pagac@hotmail.com;Lessie94;2014-07-11;Playstation 5;Path of Exile;489;220;770;54
Josianne;Reichel;Jairo Crest 67;8014;Hansenfield;1962-11-02;adolphus78@gmail.com;Audie_Thompson;2014-08-05;Playstation 4;Rocket League;105;819;817;31
Scarlett;Kuhn;Bruen Motorway 70;8543;Portland;1998-04-18;orie27@yahoo.com;Adolph.Kuvalis;2022-11-29;Xbox One;Minecraft;153;269;813;98
Hilda;Satterfield;Ofelia Ramp 42;3368;Orafort;1995-10-22;kellen10@yahoo.com;Lonnie1;2021-09-06;Playstation 5;Grand Theft Auto V;665;16;538;26
Jena;Monahan-Cartwright;Jack Crossroad 49;9974;West Jalen;1981-04-11;baby80@yahoo.com;Kailee.Hagenes;2019-04-05;Nintendo Switch;World of Warcraft;970;137;333;16
Jerald;O'Kon;Mitchel Junction 75;6474;Reillyfield;1963-12-30;carmela_johnson-stehr14@gmail.com;Andrew.Marquardt98;2017-05-09;PC;Destiny 2;763;26;626;27
Ricardo;Labadie;Smith Cliffs 92;8568;Fort Alf;1988-12-01;josefina.corkery@hotmail.com;Cathrine.Bosco86;2020-09-11;Xbox Series X;Dota 2;170;33;694;18
Hazel;Cummerata;Bernhard Villages 15;9610;Deerfield Beach;1962-03-14;antoinette72@gmail.com;Breana.Gusikowski;2017-07-29;Playstation 5;Grand Theft Auto V;512;817;706;50
Joanie;Legros;Barrows Corner 17;8515;Lake Bertram;1992-09-02;angel.ratke@hotmail.com;Obie64;2020-08-12;Playstation 5;Starcraft II;938;137;561;51
